时间,振幅,总手,金额,换手率,成交次数,,,,
"2019-08-12,一",0.0261 ,8149895 ,8208540700 ,0.65,4494 ,,,,
"2019-08-13,二",0.0150 ,3032970 ,3088013800 ,0.24,3899 ,,,,
"2019-08-14,三",0.0215 ,4141095 ,4327071300 ,0.33,3954 ,,,,
"2019-08-15,四",0.0177 ,2723739 ,2821331100 ,0.22,3710 ,,,,
"2019-08-16,五",0.0331 ,3608673 ,3822488400 ,0.29,4154 ,,,,
"2019-08-19,一",0.0198 ,3286758 ,3471558000 ,0.26,4086 ,,,,
"2019-08-20,二",0.0224 ,2860213 ,3038219300 ,0.23,3626 ,,,,
"2019-08-21,三",0.0143 ,2506662 ,2678841900 ,0.2,3858 ,,,,
"2019-08-22,四",0.0319 ,3759078 ,4099045100 ,0.3,3837 ,,,,
"2019-08-23,五",0.0344 ,4019230 ,4495782900 ,0.32,4197 ,,,,
"2019-08-26,一",0.0277 ,4849789 ,5382792400 ,0.39,4298 ,,,,
"2019-08-27,二",0.0202 ,5216421 ,5830617900 ,0.42,4356 ,,,,
"2019-08-28,三",0.0362 ,4700967 ,5169779000 ,0.37,4303 ,,,,
"2019-08-29,四",0.0233 ,2933042 ,3247704300 ,0.23,3903 ,,,,
"2019-08-30,五",0.0207 ,4489077 ,5093877200 ,0.36,4316 ,,,,
"2019-09-02,一",0.0140 ,2823433 ,3210850600 ,0.22,3807 ,,,,
"2019-09-03,二",0.0197 ,2948509 ,3358578400 ,0.23,3820 ,,,,
"2019-09-04,三",0.0200 ,3360022 ,3785904700 ,0.27,4035 ,,,,
"2019-09-05,四",0.0150 ,3293084 ,3746608100 ,0.26,4008 ,,,,
"2019-09-06,五",0.0132 ,2617659 ,2978155800 ,0.21,3798 ,,,,
"2019-09-09,一",0.0114 ,2937934 ,3346080800 ,0.23,3783 ,,,,
"2019-09-10,二",0.0132 ,2622707 ,2952753700 ,0.21,3469 ,,,,
"2019-09-11,三",0.0462 ,8171654 ,8904690600 ,0.65,4574 ,,,,
"2019-09-12,四",0.0411 ,4121133 ,4498210300 ,0.33,4190 ,,,,
"2019-09-16,一",0.0191 ,3137180 ,3432292100 ,0.25,3913 ,,,,
"2019-09-17,二",0.0179 ,2519693 ,2767385800 ,0.2,4100 ,,,,
"2019-09-18,三",0.0382 ,6931447 ,7899560200 ,0.55,4323 ,,,,
"2019-09-19,四",0.0112 ,2447980 ,2800064400 ,0.19,3872 ,,,,
"2019-09-20,五",0.0108 ,3762666 ,4346138200 ,0.3,4031 ,,,,
"2019-09-23,一",0.0225 ,3002633 ,3431059000 ,0.24,3760 ,,,,
"2019-09-24,二",0.0286 ,3626913 ,4259834000 ,0.29,3964 ,,,,
"2019-09-25,三",0.0155 ,2402458 ,2832308400 ,0.19,3494 ,,,,
"2019-09-26,四",0.0209 ,2608194 ,3050478300 ,0.21,3874 ,,,,
"2019-09-27,五",0.0257 ,2282661 ,2671754300 ,0.18,3607 ,,,,
"2019-09-30,一",0.0165 ,3082514 ,3565988700 ,0.25,3837 ,,,,
"2019-10-08,二",0.0243 ,3104527 ,3631091500 ,0.25,3859 ,,,,
"2019-10-09,三",0.0267 ,3578857 ,4105282400 ,0.28,4088 ,,,,
"2019-10-10,四",0.0435 ,4117370 ,4685560500 ,0.33,4140 ,,,,
"2019-10-11,五",0.0197 ,2868925 ,3343559800 ,0.23,3880 ,,,,
"2019-10-14,一",0.0150 ,2718751 ,3209363000 ,0.22,3559 ,,,,
"2019-10-15,二",0.0328 ,4003473 ,4806856300 ,0.32,4093 ,,,,
"2019-10-16,三",0.0227 ,5915059 ,6935972700 ,0.47,4409 ,,,,
"2019-10-17,四",0.0206 ,3050870 ,3578144100 ,0.24,4050 ,,,,
"2019-10-18,五",0.0155 ,2829161 ,3335011100 ,0.23,3885 ,,,,
"2019-10-21,一",0.0133 ,2527467 ,2955023900 ,0.2,3768 ,,,,
"2019-10-22,二",0.0151 ,1930943 ,2262188300 ,0.15,3305 ,,,,
"2019-10-23,三",0.0187 ,2308021 ,2684922200 ,0.18,3639 ,,,,
"2019-10-24,四",0.0163 ,2617844 ,3025245600 ,0.21,3920 ,,,,
"2019-10-25,五",0.0256 ,2599845 ,3015929000 ,0.21,3721 ,,,,
"2019-10-28,一",0.0137 ,2248599 ,2644563000 ,0.18,3674 ,,,,
"2019-10-29,二",0.0188 ,2780371 ,3314271700 ,0.22,4005 ,,,,
"2019-10-30,三",0.0140 ,2125475 ,2516524200 ,0.17,3604 ,,,,
"2019-10-31,四",0.0185 ,2590927 ,3068884900 ,0.21,4049 ,,,,
"2019-11-01,五",0.0165 ,2281196 ,2697638400 ,0.18,3811 ,,,,
"2019-11-04,一",0.0177 ,2673798 ,3209264000 ,0.21,3950 ,,,,
"2019-11-05,二",0.0108 ,2225472 ,2667596000 ,0.18,3925 ,,,,
"2019-11-06,三",0.0126 ,1973751 ,2362005400 ,0.16,3555 ,,,,
"2019-11-07,四",0.0108 ,1616788 ,1933203900 ,0.13,3502 ,,,,
"2019-11-08,五",0.0118 ,2451211 ,2964133800 ,0.2,3779 ,,,,
"2019-11-11,一",0.0105 ,1734246 ,2082060800 ,0.14,3421 ,,,,
"2019-11-12,二",0.0095 ,1915055 ,2303205500 ,0.15,3408 ,,,,
"2019-11-13,三",0.0231 ,3197704 ,3890666600 ,0.25,3936 ,,,,
"2019-11-14,四",0.0147 ,2352112 ,2898399700 ,0.19,3719 ,,,,
"2019-11-15,五",0.0093 ,1634072 ,2003665300 ,0.13,3444 ,,,,
"2019-11-18,一",0.0093 ,1803766 ,2204546100 ,0.14,3051 ,,,,
"2019-11-19,二",0.0135 ,2062375 ,2542105900 ,0.16,3541 ,,,,
"2019-11-20,三",0.0093 ,1528053 ,1884957300 ,0.12,3206 ,,,,
"2019-11-21,四",0.0117 ,1918739 ,2356277800 ,0.15,3718 ,,,,
"2019-11-22,五",0.0357 ,4705428 ,5677646500 ,0.37,4198 ,,,,
"2019-11-25,一",0.0184 ,3828175 ,4518778900 ,0.3,4176 ,,,,
"2019-11-26,二",0.0132 ,4023961 ,4794179900 ,0.32,4170 ,,,,
"2019-11-27,三",0.0102 ,1984881 ,2363839700 ,0.16,3484 ,,,,
"2019-11-28,四",0.0239 ,2884499 ,3405325500 ,0.23,3940 ,,,,
"2019-11-29,五",0.0447 ,8239732 ,9338326600 ,0.66,4639 ,,,,
"2019-12-02,一",0.0193 ,3078441 ,3479717400 ,0.25,4040 ,,,,
"2019-12-03,二",0.0135 ,2734093 ,3066695600 ,0.22,3804 ,,,,
"2019-12-04,三",0.0238 ,3528308 ,3980511000 ,0.28,3733 ,,,,
"2019-12-05,四",0.0125 ,2133879 ,2402503500 ,0.17,3529 ,,,,
"2019-12-06,五",0.0353 ,3950626 ,4565643700 ,0.31,4188 ,,,,
"2019-12-09,一",0.0170 ,2182412 ,2543532500 ,0.17,3651 ,,,,
"2019-12-10,二",0.0121 ,1508658 ,1749356300 ,0.12,3280 ,,,,
"2019-12-11,三",0.0131 ,1456799 ,1689987700 ,0.12,2861 ,,,,
"2019-12-12,四",0.0258 ,2940916 ,3362699700 ,0.23,3681 ,,,,
"2019-12-13,五",0.0167 ,3000059 ,3473928000 ,0.24,3808 ,,,,
"2019-12-16,一",0.0215 ,3093642 ,3554133600 ,0.25,4081 ,,,,
"2019-12-17,二",0.0266 ,4261696 ,4937042000 ,0.34,4392 ,,,,
"2019-12-18,三",0.0096 ,1964009 ,2295963800 ,0.16,3695 ,,,,
"2019-12-19,四",0.0094 ,1955230 ,2262598600 ,0.16,3615 ,,,,
"2019-12-20,五",0.0179 ,2356384 ,2703612400 ,0.19,3803 ,,,,
"2019-12-23,一",0.0231 ,2591918 ,2981937500 ,0.21,3929 ,,,,
"2019-12-24,二",0.0087 ,1182310 ,1358536200 ,0.09,2802 ,,,,
"2019-12-25,三",0.0113 ,2430597 ,2755735200 ,0.19,3684 ,,,,
"2019-12-26,四",0.0194 ,2287727 ,2585996500 ,0.18,3533 ,,,,
"2019-12-27,五",0.0194 ,4706628 ,5486452900 ,0.37,4055 ,,,,
"2019-12-30,一",0.0218 ,4076066 ,4827682100 ,0.32,4275 ,,,,
"2019-12-31,二",0.0097 ,2258881 ,2666705100 ,0.18,3759 ,,,,
"2020-01-02,四",0.0246 ,14809916 ,16696837000 ,1.18,4702 ,,,,
"2020-01-03,五",0.0355 ,13031878 ,14266381000 ,1.04,4699 ,,,,
"2020-01-06,一",0.0237 ,6341478 ,6853917600 ,0.5,4478 ,,,,
"2020-01-07,二",0.0210 ,4785359 ,5220697100 ,0.38,4132 ,,,,
"2020-01-08,三",0.0118 ,2500825 ,2720371900 ,0.2,3849 ,,,,
"2020-01-09,四",0.0141 ,3740587 ,4110949800 ,0.3,4104 ,,,,
"2020-01-10,五",0.0122 ,3597587 ,3993457100 ,0.29,4164 ,,,,
"2020-01-13,一",0.0155 ,3851575 ,4325688000 ,0.31,4104 ,,,,
"2020-01-14,二",0.0195 ,3514465 ,3916300800 ,0.28,4124 ,,,,
"2020-01-15,三",0.0150 ,2602911 ,2895603700 ,0.21,3662 ,,,,
"2020-01-16,四",0.0146 ,2319165 ,2571593100 ,0.18,3776 ,,,,
"2020-01-17,五",0.0106 ,2347275 ,2599645100 ,0.19,3758 ,,,,
"2020-01-20,一",0.0270 ,3539130 ,3858246800 ,0.28,4118 ,,,,
"2020-01-21,二",0.0135 ,3287405 ,3542441300 ,0.26,4144 ,,,,
"2020-01-22,三",0.0266 ,3620004 ,3875275100 ,0.29,4246 ,,,,
"2020-01-23,四",0.0363 ,5346843 ,5638945700 ,0.43,4418 ,,,,
"2020-02-03,一",0.0291 ,12344288 ,12314991800 ,0.98,4623 ,,,,
"2020-02-04,二",0.0458 ,6262418 ,6490469000 ,0.5,4496 ,,,,
"2020-02-05,三",0.0202 ,4741824 ,4956355200 ,0.38,4309 ,,,,
"2020-02-06,四",0.0219 ,4717121 ,5011246400 ,0.38,4340 ,,,,
"2020-02-07,五",0.0149 ,3127871 ,3348894600 ,0.25,4080 ,,,,
"2020-02-10,一",0.0162 ,3053342 ,3251908500 ,0.24,4099 ,,,,
"2020-02-11,二",0.0346 ,4791793 ,5222918900 ,0.38,4225 ,,,,
"2020-02-12,三",0.0118 ,2812543 ,3072294000 ,0.22,3762 ,,,,
"2020-02-13,四",0.0236 ,3035736 ,3335277400 ,0.24,3741 ,,,,
"2020-02-14,五",0.0095 ,2328760 ,2534568400 ,0.19,3467 ,,,,
"2020-02-17,一",0.0127 ,2702822 ,2946182700 ,0.22,3891 ,,,,
"2020-02-18,二",0.0127 ,2666496 ,2897729700 ,0.21,3959 ,,,,
"2020-02-19,三",0.0217 ,3705147 ,4052365600 ,0.29,4010 ,,,,
"2020-02-20,四",0.0261 ,4680262 ,5220660900 ,0.37,4108 ,,,,
"2020-02-21,五",0.0121 ,2894008 ,3225337200 ,0.23,3897 ,,,,
"2020-02-24,一",0.0220 ,3865036 ,4221857500 ,0.31,4184 ,,,,
"2020-02-25,二",0.0131 ,3838562 ,4127432100 ,0.31,4174 ,,,,
"2020-02-26,三",0.0270 ,4356097 ,4663278400 ,0.35,3956 ,,,,
"2020-02-27,四",0.0177 ,3449829 ,3758783800 ,0.27,4077 ,,,,
"2020-02-28,五",0.0295 ,4994657 ,5307929200 ,0.4,4385 ,,,,
"2020-03-02,一",0.0440 ,4766304 ,5154329200 ,0.38,4342 ,,,,
"2020-03-03,二",0.0192 ,5025015 ,5585227700 ,0.4,4274 ,,,,
"2020-03-04,三",0.0204 ,5379299 ,6080149200 ,0.43,4382 ,,,,
"2020-03-05,四",0.0394 ,6242645 ,7210485100 ,0.5,4521 ,,,,
"2020-03-06,五",0.0205 ,3064100 ,3553622400 ,0.24,3968 ,,,,
"2020-03-09,一",0.0205 ,4340409 ,4865288500 ,0.35,4337 ,,,,
"2020-03-10,二",0.0494 ,5806293 ,6635936200 ,0.46,4286 ,,,,
"2020-03-11,三",0.0247 ,3554757 ,4124608000 ,0.28,3931 ,,,,
"2020-03-12,四",0.0241 ,3663063 ,4172606100 ,0.29,4177 ,,,,
"2020-03-13,五",0.0430 ,7588531 ,8348496500 ,0.6,4500 ,,,,
"2020-03-16,一",0.0413 ,5123254 ,5548946700 ,0.41,4260 ,,,,
"2020-03-17,二",0.0627 ,7935912 ,8277472800 ,0.63,4622 ,,,,
"2020-03-18,三",0.0498 ,7345988 ,7582762500 ,0.58,4391 ,,,,
"2020-03-19,四",0.0545 ,10226507 ,10075880500 ,0.81,4669 ,,,,
"2020-03-20,五",0.0321 ,6013919 ,6169094400 ,0.48,4336 ,,,,
"2020-03-23,一",0.0423 ,4847210 ,4918121900 ,0.39,4324 ,,,,
"2020-03-24,二",0.0234 ,4665096 ,4900364100 ,0.37,4236 ,,,,
